filename	nitrogen	variety
1-1.TRM	140	1
1-2.TRM	140	1
1-3.TRM	180	1
1-4.TRM	180	1
10-1.TRM	140	10
10-2.TRM	140	10
10-3.TRM	180	10
10-4.TRM	180	10
2-1.TRM	140	2
2-2.TRM	140	2
2-3.TRM	180	2
2-4.TRM	180	2
3-1.TRM	140	3
3-2.TRM	140	3
3-3.TRM	180	3
3-4.TRM	180	3
4-1.TRM	140	4
4-2.TRM	140	4
4-3.TRM	180	4
4-4.TRM	180	4
5-1.TRM	140	5
5-2.TRM	140	5
5-3.TRM	180	5
5-4.TRM	180	5
6-1.TRM	140	6
6-2.TRM	140	6
6-3.TRM	180	6
6-4.TRM	180	6
7-1.TRM	140	7
7-2.TRM	140	7
7-3.TRM	180	7
7-4.TRM	180	7
8-1.TRM	140	8
8-2.TRM	140	8
8-3.TRM	180	8
8-4.TRM	180	8
9-1.TRM	140	9
9-2.TRM	140	9
9-3.TRM	180	9
9-4.TRM	180	9
yellowdry.TRM	NA	NA
